form;communication;semantic_category;speaker_generation;speaker_gender;relationship;speech_act;reaction;effect_voc
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;neutral;disc_polite
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;neutral;neutral
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;positive;attenuating
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;neutral;attenuating
coño;IR_AM2_F_08;nom_taboo;GEN2;F;intimates;neutral;neutral;disc_polite
idiota;IR_AM2_F_08;nom_taboo;GEN2;F;intimates;neutral;neutral;banter
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;neutral;disc_polite
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;neutral;attenuating
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;neutral;attenuating
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;neutral;neutral
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;negative;impolite
idiota;IR_AM2_F_08;nom_taboo;GEN2;F;intimates;neutral;neutral;impolite
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;neutral;disc_polite
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;negative;neutral
idiota;IR_AM2_F_08;nom_taboo;GEN2;F;intimates;neutral;negative;impolite
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;negative;neutral
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;negative;attenuating
PropN;IR_AM2_F_08;PropN;GEN2;F;intimates;neutral;neutral;attenuating
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;neutral;attenuating
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;neutral;attenuating
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;neutral;attenuating
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;neutral;attenuating
tía;IR_AM2_F_08;nom_familiarizer;GEN2;F;intimates;neutral;negative;attenuating
tú;ATropa_01a;pronoun;GEN3;F;intimates;polite;neutral;intensifying
tú;ATropa_01a;pronoun;GEN3;F;co-workers;polite;neutral;intensifying
